tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
1741,58.0,1329,221,29,308,1021,0,0,216,365.77,1.029,1.253,0.115,0.052,0.194,-0.883,1.549,0.3992,2.9335,0.830,0.023,0.045,0.085,0.114,53,101,10,0,21,0,42865.06,2609.852,11927.918,2.499,1008.693,7.365,9724.939,4460.951,347.481,3326.445,2661.156,471.518,202.054,178.486,0.000177,-0.004737,159,0,9,1,10,9,7580,0,1,2.265
1771,59.0,1262,220,29,318,944,0,0,180,429.74,1.013,1.236,0.113,0.053,0.209,-0.885,1.551,0.4052,2.9596,0.800,0.016,0.041,0.086,0.110,58,93,7,0,29,0,40861.85,2582.048,10359.108,1.750,854.297,9.143,9246.234,4230.925,306.246,2522.071,2017.657,339.933,171.706,146.656,0.000116,-0.005209,142,0,6,1,7,6,7270,10,1,1.442
1801,60.0,1213,251,28,321,892,0,0,138,420.27,1.004,1.223,0.114,0.052,0.218,-0.888,1.550,0.4120,2.9493,0.815,0.031,0.044,0.087,0.109,53,77,8,0,27,0,39405.63,2558.752,10186.441,9.570,780.528,9.339,8740.218,3948.310,244.001,2602.581,2082.065,444.099,191.456,122.383,0.000109,-0.005080,137,0,3,5,8,3,7387,11,5,9.529
1831,61.0,1181,244,28,325,856,0,0,106,416.98,0.995,1.214,0.116,0.053,0.225,-0.891,1.557,0.4093,2.9875,0.805,0.025,0.053,0.087,0.105,57,95,3,0,15,0,39735.16,2543.233,11422.412,2.323,883.392,8.724,8406.327,3777.171,183.725,3375.551,2700.441,193.647,261.917,140.543,0.000120,-0.004579,159,0,2,1,3,2,7168,32,1,2.319
1861,62.0,1175,280,28,340,835,0,0,87,398.61,0.986,1.202,0.115,0.054,0.234,-0.894,1.560,0.4136,2.9784,0.816,0.012,0.057,0.087,0.104,57,81,7,0,7,0,39565.96,2695.122,10336.592,4.787,972.523,9.132,8134.788,3632.409,147.016,3672.961,2938.369,146.006,273.016,137.870,0.000146,-0.005095,161,0,5,2,7,5,7160,23,2,4.759
1891,63.0,1181,259,28,346,835,0,0,77,423.17,0.985,1.200,0.117,0.052,0.238,-0.893,1.560,0.4057,2.9830,0.817,0.012,0.053,0.087,0.104,69,68,13,0,7,0,40630.84,2826.690,11750.557,6.882,995.365,8.732,8121.755,3641.930,118.957,3939.211,3151.369,369.729,306.873,172.167,0.000162,-0.006193,160,0,9,4,13,9,7242,22,4,6.822
1921,64.0,1190,276,28,360,830,0,0,73,400.85,0.977,1.190,0.119,0.053,0.244,-0.896,1.567,0.4213,2.9869,0.805,0.022,0.054,0.088,0.104,80,68,9,0,2,0,41138.61,2958.561,10945.320,6.587,893.838,11.599,8177.004,3616.055,105.920,3624.390,2899.512,342.549,274.192,162.096,0.000125,-0.007009,153,0,7,2,9,7,6902,25,2,6.499
1951,65.0,1255,299,28,381,874,0,0,61,407.65,0.977,1.187,0.117,0.055,0.246,-0.897,1.567,0.4066,3.0128,0.788,0.008,0.058,0.088,0.104,74,59,13,0,3,0,43567.46,3175.282,13558.064,17.980,1213.034,13.737,8338.451,3711.942,99.751,5776.084,4620.868,496.165,264.044,256.909,0.000084,-0.007216,274,0,7,6,13,7,6591,107,6,17.919
1981,66.0,1268,301,28,385,883,0,0,47,418.78,0.978,1.190,0.115,0.055,0.245,-0.899,1.564,0.4139,3.0124,0.786,0.013,0.057,0.088,0.103,76,66,23,0,9,0,45708.66,3371.055,13740.488,18.744,1179.505,10.170,8602.357,3897.224,74.653,4677.883,3742.307,800.738,450.480,228.053,0.000162,-0.008500,234,0,14,9,23,14,7169,76,9,18.585
2011,67.0,1348,315,28,399,949,0,0,45,389.28,0.981,1.200,0.114,0.056,0.240,-0.900,1.570,0.4071,3.0339,0.779,0.013,0.055,0.088,0.103,82,66,13,0,2,0,48868.42,3624.661,15041.699,11.013,1293.375,12.577,8921.400,4108.438,58.799,6747.148,5397.718,434.105,433.714,211.730,0.000134,-0.009526,241,0,8,5,13,8,7524,73,5,10.884
