tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
11791,393.0,2928,295,36,696,2232,0,0,109,149.76,1.580,1.445,2.339,0.415,0.274,-0.965,1.971,0.3232,1.5987,0.643,0.000,0.003,0.189,-0.085,143,299,146,1,14,0,110903.88,19398.589,76169.304,0.760,15345.622,47.493,74553.978,9908.898,159.791,26635.449,21308.359,6159.979,560.955,1309.112,0.000228,-0.071023
11821,394.0,2883,299,36,698,2185,0,0,126,193.13,1.573,1.443,2.334,0.418,0.278,-0.964,1.972,0.3190,1.6045,0.638,0.000,0.001,0.189,-0.085,136,323,137,3,19,0,110559.90,19062.963,77919.801,0.464,14886.631,46.351,73866.839,9823.108,172.147,25513.552,20410.842,6478.162,540.728,1343.528,0.000249,-0.068841
11851,395.0,2886,293,36,700,2186,0,0,134,149.18,1.573,1.448,2.341,0.415,0.279,-0.964,1.970,0.3201,1.6043,0.645,0.000,0.001,0.189,-0.084,162,296,140,3,19,0,107836.20,18766.088,75076.019,0.899,14534.794,41.107,73469.098,9723.496,177.168,27063.975,21651.180,6045.043,510.094,1229.008,0.000369,-0.067498
11881,396.0,2818,296,36,707,2111,0,0,135,154.34,1.559,1.439,2.325,0.413,0.285,-0.965,1.966,0.3180,1.6169,0.636,0.000,0.001,0.189,-0.085,146,332,148,2,21,0,104895.64,18863.388,74462.323,0.643,14070.961,43.288,72911.105,9710.966,193.156,25384.951,20307.961,6576.876,520.018,1277.800,0.000119,-0.067978
11911,397.0,2789,282,36,708,2081,0,0,137,153.82,1.554,1.438,2.317,0.418,0.287,-0.966,1.967,0.3187,1.6146,0.662,0.000,0.001,0.189,-0.084,131,311,122,1,22,0,104186.35,18540.059,73083.314,0.752,14859.507,45.483,70727.761,9504.890,196.287,25034.435,20027.548,5405.942,333.391,1158.261,0.000226,-0.067881
11941,398.0,2779,307,36,704,2075,0,0,129,182.07,1.556,1.438,2.319,0.419,0.287,-0.967,1.968,0.3135,1.6220,0.662,0.000,0.001,0.188,-0.086,150,310,109,1,22,0,102495.28,18427.235,71143.373,0.302,14264.930,50.386,70468.650,9385.094,198.155,25494.390,20395.512,4578.373,479.607,1053.221,0.000227,-0.066398
11971,399.0,2715,307,36,702,2013,0,0,140,156.90,1.546,1.433,2.310,0.430,0.291,-0.967,1.967,0.3143,1.6119,0.661,0.000,0.002,0.188,-0.086,131,308,124,2,21,0,99116.55,17939.269,68326.425,0.364,13456.044,48.823,68980.921,9171.519,192.589,22975.141,18380.113,5151.362,468.835,1084.538,0.000190,-0.066371
12001,400.0,2626,279,36,701,1925,0,0,140,195.30,1.534,1.420,2.290,0.444,0.298,-0.967,1.970,0.3158,1.6273,0.674,0.001,0.002,0.187,-0.088,147,297,117,0,25,0,95450.13,17755.051,65796.095,0.462,13466.608,47.272,67205.973,8982.682,197.858,20558.404,16446.724,5220.153,422.119,1077.558,0.000204,-0.066631
12031,401.0,2515,278,36,704,1811,0,0,153,189.60,1.515,1.400,2.260,0.440,0.307,-0.966,1.968,0.3139,1.6155,0.672,0.000,0.001,0.186,-0.089,157,296,139,1,19,0,89524.80,17392.683,61499.525,0.395,12970.781,47.916,64308.005,8513.526,200.551,20214.964,16171.971,6254.425,305.212,1193.221,0.000196,-0.066010
12061,402.0,2491,279,36,706,1785,0,0,151,201.60,1.509,1.397,2.251,0.441,0.309,-0.966,1.968,0.3120,1.6111,0.670,0.000,0.001,0.186,-0.090,134,250,73,2,25,0,87374.12,16685.149,58676.792,0.244,12307.968,52.972,61362.163,8024.306,209.405,19159.020,15327.216,2991.486,292.812,800.899,0.000211,-0.065407
12091,403.0,2373,272,36,706,1667,0,0,159,168.18,1.487,1.382,2.217,0.437,0.319,-0.965,1.969,0.3145,1.6286,0.675,0.000,0.002,0.184,-0.088,141,293,102,1,19,0,81480.00,16106.032,54756.779,0.158,11902.913,45.941,59992.491,7732.026,222.744,17495.972,13996.778,4069.951,287.789,952.886,0.000144,-0.065499
12121,404.0,2263,280,36,703,1560,0,0,145,220.33,1.466,1.365,2.181,0.443,0.329,-0.965,1.970,0.3103,1.6356,0.663,0.000,0.001,0.183,-0.090,165,275,95,3,18,0,77580.28,15352.459,52572.541,0.477,10851.119,53.414,56128.059,7167.929,209.533,16525.584,13220.467,3914.513,235.552,864.492,0.000196,-0.065419
12151,405.0,2199,255,36,701,1498,0,0,149,186.99,1.454,1.357,2.165,0.446,0.335,-0.965,1.972,0.3110,1.6330,0.671,0.000,0.003,0.182,-0.091,157,214,97,1,18,0,73939.70,14603.314,50360.094,0.226,9805.382,56.091,53708.806,6835.872,197.107,15640.699,12512.559,3629.645,301.291,803.352,0.000181,-0.066577
