tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
1261,42.0,6000,736,48,4947,1051,0,2,4465,373.82,0.546,0.564,0.123,0.044,0.554,-0.908,1.503,0.4348,2.4913,0.475,0.526,0.656,0.087,-0.006,260,2,119,0,108,0,386407.34,45501.716,27800.872,32.435,11176.475,96.850,19333.132,4464.301,8052.793,7566.922,6053.538,14399.032,23858.376,4157.820,0.000388,0.008921
1291,43.0,6000,708,48,5050,948,0,2,4422,442.55,0.541,0.547,0.124,0.044,0.564,-0.910,1.504,0.4345,2.4085,0.466,0.502,0.646,0.087,-0.004,289,7,145,0,119,0,376266.59,43785.026,25999.675,39.408,13659.648,94.130,19208.391,4262.796,8018.715,8587.224,6869.779,16611.294,24987.463,5158.730,0.000549,0.007118
1321,44.0,6000,768,48,5126,872,0,2,4435,393.49,0.536,0.534,0.127,0.043,0.572,-0.910,1.506,0.4318,2.3790,0.474,0.478,0.654,0.087,-0.003,272,0,124,0,108,0,367475.25,42812.951,23503.941,34.405,14032.383,94.744,19045.023,4030.922,7900.997,7244.498,5795.599,13502.921,24769.795,4444.100,0.000423,0.007516
1351,45.0,5999,756,47,5212,785,0,2,4429,451.09,0.529,0.519,0.128,0.044,0.581,-0.909,1.507,0.4325,2.3274,0.470,0.459,0.659,0.087,-0.001,306,3,122,0,104,0,358227.94,41858.488,21737.237,25.578,14073.958,101.096,18912.280,3775.776,7870.383,7074.289,5659.431,13613.542,22422.975,4858.800,0.000412,0.006420
1381,46.0,6000,684,47,5290,710,0,0,4358,447.17,0.524,0.506,0.130,0.045,0.589,-0.909,1.508,0.4341,2.3645,0.468,0.437,0.675,0.087,0.001,314,3,111,0,104,0,347404.53,40375.717,20264.570,14.774,15076.400,115.173,18773.594,3563.851,7759.462,6859.125,5487.300,12649.147,22258.034,5102.561,0.000404,0.004799
1411,47.0,6000,650,47,5356,644,0,0,4432,438.81,0.521,0.493,0.133,0.046,0.597,-0.908,1.508,0.4340,2.3171,0.467,0.423,0.686,0.087,0.002,342,4,85,0,115,0,337625.56,38701.282,18998.326,18.834,14146.525,125.915,18713.964,3434.872,7740.739,6306.374,5045.100,10942.223,20762.100,4642.214,0.000529,0.006093
1441,48.0,6000,651,47,5423,577,0,0,4428,428.95,0.516,0.481,0.135,0.048,0.605,-0.907,1.509,0.4331,2.2446,0.461,0.399,0.671,0.087,0.003,331,8,95,0,133,0,322743.50,37487.809,15837.936,21.167,16200.858,128.791,18645.253,3247.413,7718.988,7384.684,5907.747,12433.617,19515.696,5191.089,0.000558,0.007529
1471,49.0,5999,666,47,5458,541,0,0,4401,495.98,0.513,0.474,0.137,0.049,0.609,-0.906,1.511,0.4311,2.1585,0.460,0.378,0.671,0.086,0.004,374,6,71,0,120,0,311027.84,35872.843,13515.306,9.536,15652.521,134.432,18592.244,3076.325,7670.347,6219.016,4975.213,8382.590,17129.034,5019.014,0.000486,0.012625
1501,50.0,6000,702,47,5495,505,0,0,4394,495.58,0.511,0.467,0.138,0.050,0.614,-0.904,1.513,0.4303,2.0998,0.467,0.349,0.610,0.087,0.005,344,6,64,0,167,0,295417.78,34709.382,12483.890,15.665,16417.354,140.940,18593.548,3008.118,7612.926,7403.005,5922.404,9920.337,16732.816,5470.653,0.000340,0.014965
1531,51.0,6000,683,47,5531,468,0,1,4376,489.45,0.507,0.459,0.140,0.051,0.619,-0.898,1.515,0.4286,2.0328,0.465,0.321,0.631,0.086,0.006,335,12,64,0,146,0,282451.91,33415.233,11688.827,10.585,15353.666,146.770,18553.473,2889.324,7595.103,6803.355,5442.684,8193.867,14511.404,4976.654,0.000426,0.015524
1561,52.0,5999,616,47,5540,458,0,1,4349,548.59,0.506,0.454,0.142,0.053,0.622,-0.888,1.519,0.4265,2.0337,0.471,0.294,0.584,0.087,0.005,388,15,52,0,180,0,267842.78,32199.720,11707.912,14.410,16962.148,141.930,18558.677,2883.853,7519.874,7726.686,6181.349,8010.148,14780.825,5232.469,0.000465,0.018629
1591,53.0,6000,565,47,5562,437,0,1,4281,546.22,0.504,0.449,0.145,0.056,0.626,-0.884,1.521,0.4239,2.0007,0.459,0.259,0.568,0.087,0.005,366,17,55,0,178,0,250769.08,31067.326,10113.027,4.233,19241.225,150.391,18603.125,2783.852,7429.936,7754.699,6203.759,7531.867,14352.225,6006.351,0.000397,0.020435
1621,54.0,5999,571,47,5572,426,0,1,4262,596.38,0.503,0.446,0.146,0.060,0.630,-0.882,1.522,0.4241,1.9871,0.458,0.224,0.585,0.086,0.006,390,19,45,0,212,0,233669.69,29854.845,8375.651,6.127,19497.030,146.310,18694.784,2725.176,7303.615,8532.095,6825.676,6049.352,13435.603,5421.055,0.000227,0.019563
1651,55.0,6000,517,46,5584,416,0,0,4266,531.84,0.503,0.442,0.149,0.064,0.632,-0.878,1.526,0.4246,1.9287,0.460,0.188,0.534,0.086,0.006,376,16,57,0,231,0,216217.86,28566.751,8281.118,4.462,20434.813,155.527,18761.203,2694.959,7293.789,9748.505,7798.804,6484.698,11135.100,5984.713,0.000372,0.021982
