tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
10741,358.0,581,233,18,43,534,4,0,7,156.49,1.881,1.676,1.330,0.463,0.127,-0.929,1.523,0.3733,1.8211,0.798,0.000,0.002,0.205,0.165,43,59,55,0,0,0,26815.06,524.122,16366.427,1563.417,93.111,9.516,13403.437,2689.942,5.010,5515.483,4412.387,1526.933,229.457,861.019,0.000090,0.052143,5,0,54,1,8,8,1583,0,0,0.000
10771,359.0,552,238,18,36,513,3,0,9,168.48,1.877,1.674,1.283,0.446,0.118,-0.930,1.444,0.4147,1.8320,0.815,0.028,0.000,0.206,0.172,38,71,44,0,0,0,24876.25,445.605,15255.998,1485.721,49.383,9.567,12875.908,2574.955,10.661,4948.119,3958.495,1417.065,427.078,830.850,0.000124,0.050983,4,0,43,1,5,5,1567,0,0,0.000
10801,360.0,541,218,17,27,513,1,0,6,181.38,1.874,1.686,1.222,0.425,0.101,-0.939,1.371,0.4166,1.8964,0.891,0.037,0.002,0.206,0.182,28,66,28,0,3,0,23791.17,354.456,15122.354,1186.805,12.653,7.905,12160.336,2512.608,11.207,4966.502,3973.202,1278.339,408.732,384.163,0.000173,0.050279,1,0,28,0,1,1,1583,0,0,0.000
10831,361.0,514,224,17,19,494,1,0,5,169.64,1.871,1.691,1.169,0.430,0.090,-0.940,1.321,0.4538,1.9091,0.893,0.053,0.004,0.208,0.192,24,84,18,0,2,0,24063.75,273.224,15464.432,616.229,36.512,7.722,11600.939,2500.533,7.617,4423.067,3538.454,565.626,188.140,333.842,0.000141,0.048930,3,0,18,0,3,3,1345,0,0,0.000
10861,362.0,507,219,17,24,482,1,0,3,163.23,1.866,1.685,1.151,0.458,0.099,-0.942,1.320,0.4422,1.9177,0.816,0.042,0.000,0.207,0.185,26,65,33,0,0,0,23862.63,242.305,15021.427,905.278,34.529,6.476,11165.113,2457.687,4.667,5198.203,4158.563,853.300,279.004,570.716,0.000112,0.049043,4,0,33,0,8,8,1151,0,0,0.000
10891,363.0,508,241,17,20,487,1,0,3,165.66,1.866,1.688,1.119,0.457,0.093,-0.942,1.356,0.4072,1.9919,0.808,0.050,0.002,0.209,0.188,30,48,34,0,0,0,24063.91,232.456,14869.960,1055.496,1.942,6.453,10912.045,2351.280,3.614,4738.435,3790.748,1046.087,177.392,518.526,0.000139,0.047906,1,0,32,2,4,4,1070,0,1,0.840
10921,364.0,529,260,17,24,504,1,0,3,183.27,1.859,1.679,1.070,0.469,0.097,-0.942,1.294,0.4205,2.0020,0.748,0.042,0.002,0.210,0.187,22,65,25,0,0,0,25518.17,211.455,16446.287,799.860,4.898,4.925,11001.856,2422.343,3.614,6315.106,5052.085,754.941,169.676,387.890,0.000119,0.048067,1,0,25,0,2,2,1113,0,0,0.000
10951,365.0,575,231,18,25,550,0,0,2,193.83,1.853,1.679,1.074,0.496,0.094,-0.946,1.300,0.4502,2.0179,0.804,0.040,0.004,0.210,0.192,26,45,25,0,0,0,27549.23,235.114,18430.802,632.156,40.452,6.833,11782.624,2722.572,1.985,6590.419,5272.335,596.884,141.744,703.116,0.000105,0.048091,3,0,24,1,8,8,1045,0,0,0.000
10981,366.0,619,227,18,24,595,0,0,2,184.40,1.849,1.683,1.036,0.475,0.088,-0.947,1.227,0.4772,2.1539,0.785,0.000,0.003,0.211,0.195,23,57,28,0,0,0,29982.18,239.564,19713.937,690.666,13.530,4.892,12415.222,2981.713,1.804,7310.800,5848.640,645.958,82.970,621.392,0.000094,0.048838,2,0,28,0,7,7,1299,0,0,0.000
11011,367.0,672,244,18,28,644,0,0,2,168.78,1.841,1.681,1.032,0.484,0.090,-0.947,1.230,0.4758,2.1376,0.839,0.036,0.006,0.213,0.197,28,51,35,0,0,0,32563.09,260.279,21597.604,914.548,31.883,5.513,13313.784,3293.176,1.804,7858.738,6286.990,872.810,253.942,884.264,0.000101,0.048746,2,0,34,1,11,11,1436,0,0,0.000
