tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
4771,159.0,4508,84,18,324,4184,0,0,2259,250.35,1.064,1.872,0.619,0.152,0.148,-0.956,1.536,0.4484,3.7421,0.677,0.006,0.032,0.224,-0.152,87,170,51,0,417,0,148445.08,5767.932,63725.908,29.730,3336.843,13.161,37992.385,24034.237,3403.788,22599.061,18079.249,2337.811,1068.511,306.414,0.000263,0.005423,628,0,34,17,51,34,3864,0,17,29.666
4801,160.0,4364,78,28,339,4025,0,0,2187,233.07,1.066,1.862,0.620,0.149,0.152,-0.957,1.537,0.4505,3.7500,0.688,0.003,0.031,0.224,-0.152,84,149,44,0,432,0,143810.88,5810.893,60427.978,7.343,2783.606,13.477,37050.674,23171.947,3336.325,20124.233,16099.387,2012.481,1031.655,252.488,0.000248,0.004570,530,0,41,3,44,41,3477,0,3,7.270
4831,161.0,4219,71,28,351,3868,0,0,2135,242.54,1.067,1.852,0.616,0.147,0.155,-0.956,1.540,0.4462,3.7049,0.696,0.011,0.031,0.223,-0.154,79,156,44,0,403,0,139600.12,5918.726,58289.641,4.356,3092.028,11.926,36039.462,22272.305,3274.458,19268.073,15414.459,1946.799,762.344,274.483,0.000234,0.005382,564,0,41,3,44,41,3127,1,3,4.311
4861,162.0,4095,88,28,363,3732,0,0,2058,243.96,1.068,1.843,0.616,0.143,0.158,-0.956,1.543,0.4433,3.6877,0.683,0.006,0.029,0.223,-0.154,88,130,32,0,400,0,134908.14,5864.947,55123.073,2.060,3108.962,12.883,34887.423,21351.360,3170.746,18529.581,14823.665,1728.555,582.691,255.376,0.000254,0.005305,534,0,30,2,32,30,2892,4,2,2.034
4891,163.0,3965,78,28,377,3588,0,0,1993,251.34,1.070,1.834,0.614,0.140,0.162,-0.957,1.548,0.4460,3.6938,0.707,0.005,0.030,0.223,-0.155,86,134,32,0,383,0,129924.22,5913.141,52875.591,0.082,3345.186,11.029,34116.090,20721.243,3103.853,17751.378,14201.102,1470.241,521.067,289.968,0.000221,0.003658,661,0,32,0,32,32,2639,44,0,0.000
4921,164.0,3807,99,28,381,3426,0,0,1897,251.37,1.064,1.825,0.615,0.138,0.165,-0.957,1.548,0.4575,3.6528,0.710,0.005,0.027,0.222,-0.155,96,151,23,0,385,0,124063.77,5876.926,48807.883,7.125,2989.403,14.144,32659.115,19712.013,2978.926,16779.589,13423.672,1056.077,582.269,208.073,0.000320,0.004747,584,0,15,8,23,15,2457,7,8,7.093
4951,165.0,3694,89,30,394,3300,0,0,1791,243.80,1.060,1.816,0.611,0.136,0.169,-0.958,1.546,0.4608,3.6639,0.714,0.008,0.027,0.222,-0.154,87,137,15,0,328,0,119810.17,5765.901,47779.831,2.732,2822.694,12.140,31409.937,18764.165,2825.725,15433.564,12346.852,1089.343,451.131,175.042,0.000193,0.005305,531,0,14,1,15,14,2418,14,1,2.723
4981,166.0,3569,78,30,409,3160,0,0,1741,235.99,1.054,1.802,0.613,0.135,0.174,-0.958,1.548,0.4579,3.6439,0.709,0.010,0.026,0.221,-0.153,94,136,19,0,316,0,114293.62,5669.959,44766.846,0.050,2953.770,11.963,30457.662,18142.688,2728.540,14414.165,11531.332,1229.975,324.498,187.211,0.000178,0.006267,581,0,19,0,19,19,2396,17,0,0.000
5011,167.0,3429,75,30,408,3021,0,0,1618,263.72,1.051,1.791,0.614,0.135,0.177,-0.958,1.548,0.4553,3.6209,0.738,0.010,0.024,0.220,-0.153,69,128,12,0,292,0,106221.12,5476.745,39397.640,4.393,2860.880,12.367,29223.569,17104.562,2627.168,12393.082,9914.466,1018.082,317.305,181.980,0.000168,0.007279,567,0,9,3,12,9,2257,4,3,4.382
5041,168.0,3170,71,30,411,2759,0,0,1517,265.39,1.044,1.771,0.612,0.134,0.184,-0.958,1.555,0.4518,3.6062,0.712,0.007,0.024,0.218,-0.153,64,166,6,0,338,0,100239.65,5359.920,37880.842,0.056,2503.613,10.748,27454.163,15976.896,2440.996,10472.359,8377.888,783.619,339.700,132.445,0.000268,0.008702,468,0,6,0,6,6,2162,0,0,0.000
