tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
9361,312.0,3734,86,39,1970,1764,0,0,928,428.33,0.990,0.984,0.315,0.045,0.459,-0.971,1.963,0.3755,2.6962,0.575,0.001,0.008,0.123,-0.070,89,55,49,0,46,0,121562.01,27286.892,24635.356,65.903,16431.685,45.634,28578.274,9906.022,1245.618,15097.636,12078.109,1494.080,77.062,563.085,0.000370,0.044321,3330,0,13,36,49,13,28122,51,35,65.462,0,0,0,0,0,0,0
9391,313.0,3978,87,39,2037,1941,0,0,1046,389.15,1.007,1.005,0.310,0.044,0.448,-0.971,1.959,0.3766,2.7196,0.571,0.000,0.006,0.122,-0.066,63,41,54,0,45,0,129552.91,29905.227,27879.285,29.680,19268.217,39.856,30816.107,10935.272,1407.272,17604.385,14083.508,2273.222,130.112,740.427,0.000198,0.045071,3925,0,37,17,54,37,29906,44,17,29.606,0,0,0,0,0,0,0
9421,314.0,4235,82,39,2096,2139,0,0,1201,364.65,1.026,1.024,0.304,0.044,0.436,-0.971,1.957,0.3776,2.7122,0.578,0.001,0.005,0.121,-0.062,65,50,64,0,48,0,138092.61,32110.613,30578.098,49.872,21423.879,38.962,33305.735,12083.499,1644.139,19434.640,15547.712,2292.869,163.581,822.134,0.000254,0.044769,4501,0,34,30,64,34,31215,62,26,47.461,0,0,0,0,0,0,0
9451,315.0,4451,66,40,2126,2325,0,0,1427,371.34,1.048,1.045,0.299,0.045,0.423,-0.972,1.958,0.3746,2.7189,0.564,0.001,0.004,0.120,-0.057,66,60,97,0,59,0,145087.05,33892.627,32591.234,77.896,22186.051,37.810,35993.574,13162.599,1982.496,20463.075,16370.460,3363.128,31.594,941.318,0.000245,0.047855,4756,0,53,44,97,53,32749,112,41,74.966,0,0,0,0,0,0,0
9481,316.0,4611,80,40,2144,2467,0,0,1662,468.70,1.062,1.059,0.293,0.045,0.415,-0.971,1.955,0.3793,2.7235,0.556,0.002,0.004,0.120,-0.053,90,63,138,0,78,0,150238.22,35633.792,34031.482,126.703,23487.640,34.603,38104.772,14147.857,2373.765,20207.642,16166.114,4837.834,87.641,1047.405,0.000189,0.046328,5176,0,66,72,138,66,33635,88,67,123.193,0,0,0,0,0,0,0
9511,317.0,4702,61,40,2140,2562,0,0,1972,365.23,1.076,1.071,0.290,0.045,0.407,-0.971,1.953,0.3836,2.7372,0.543,0.001,0.005,0.119,-0.050,68,60,166,0,100,0,156821.81,36915.058,37307.688,135.751,24191.628,36.344,39517.403,14898.086,2880.398,19442.483,15553.987,5305.640,138.766,1146.108,0.000257,0.047284,5472,0,83,83,166,83,34243,112,81,134.154,0,0,0,0,0,0,0
9541,318.0,4843,66,40,2120,2723,0,0,2310,398.72,1.098,1.088,0.286,0.044,0.394,-0.972,1.955,0.3846,2.7307,0.540,0.001,0.003,0.118,-0.044,77,56,184,1,107,0,162080.97,37734.310,39182.620,169.838,26541.213,35.098,41145.079,15786.110,3471.541,23108.536,18486.829,5642.806,28.819,1131.567,0.000205,0.047772,5989,0,79,105,184,79,34866,59,101,167.657,0,0,0,0,0,0,0
9571,319.0,4945,72,40,2088,2857,0,0,2606,349.61,1.117,1.107,0.283,0.044,0.382,-0.971,1.955,0.3826,2.7177,0.549,0.000,0.002,0.117,-0.039,63,40,169,0,149,0,166070.38,39027.792,41486.795,169.086,26471.024,33.436,42970.073,16698.893,4090.750,22263.585,17810.868,7199.043,60.134,1222.658,0.000212,0.048416,6141,0,85,84,169,85,36243,66,82,166.445,0,0,0,0,0,0,0
9601,320.0,5075,63,40,2081,2994,0,0,2897,392.30,1.135,1.120,0.280,0.045,0.373,-0.971,1.954,0.3897,2.6850,0.558,0.000,0.004,0.116,-0.036,60,49,150,0,167,0,170500.52,40130.787,43808.797,151.009,27318.043,31.292,44779.686,17424.707,4675.624,23696.501,18957.201,6875.257,17.370,1148.498,0.000299,0.049032,6363,0,69,81,150,69,36792,59,76,146.475,0,0,0,0,0,0,0
9631,321.0,5164,56,40,2061,3103,0,0,3138,427.16,1.151,1.134,0.278,0.046,0.366,-0.971,1.952,0.3901,2.7039,0.569,0.000,0.002,0.116,-0.034,44,49,193,0,186,0,175656.80,41920.229,46234.523,137.053,27466.372,34.832,46498.523,18061.282,5172.056,24947.310,19957.848,7080.175,83.252,1250.778,0.000327,0.049955,6612,0,100,93,193,100,37319,74,87,132.621,0,0,0,0,0,0,0
9661,322.0,5232,70,40,2035,3197,0,0,3334,318.33,1.166,1.147,0.275,0.046,0.359,-0.971,1.950,0.3920,2.6769,0.569,0.000,0.002,0.116,-0.031,52,26,201,0,214,0,179260.33,43527.881,45487.738,150.738,29174.437,25.861,47851.273,18775.493,5587.823,24578.667,19662.934,6994.354,103.238,1334.920,0.000221,0.049831,6642,0,110,91,201,110,38348,68,86,145.217,0,0,0,0,0,0,0
9691,323.0,5313,68,40,2035,3278,0,0,3456,371.27,1.175,1.154,0.273,0.046,0.355,-0.971,1.946,0.3986,2.7060,0.557,0.000,0.002,0.116,-0.030,52,35,194,0,230,0,184149.19,43685.308,49359.392,155.210,30279.248,28.137,48855.354,19197.113,5909.365,25652.659,20522.127,7760.961,81.293,1376.428,0.000269,0.049435,6943,0,101,93,194,101,38353,56,87,150.186,0,0,0,0,0,0,0
9721,324.0,5368,61,40,2023,3345,0,0,3531,295.77,1.186,1.161,0.272,0.046,0.351,-0.971,1.945,0.3999,2.6750,0.567,0.002,0.001,0.116,-0.028,56,24,201,0,237,0,188040.80,44708.795,49112.314,162.278,30176.399,30.717,50085.278,19709.300,6096.587,24845.691,19876.553,7799.401,29.510,1402.559,0.000390,0.050948,6986,0,107,94,201,107,38765,70,91,159.897,0,0,0,0,0,0,0
9751,325.0,5487,62,40,2036,3451,0,0,3649,299.48,1.196,1.166,0.270,0.046,0.347,-0.970,1.946,0.3975,2.6682,0.572,0.001,0.003,0.116,-0.026,50,26,197,0,240,0,192873.28,46013.939,52137.304,141.075,31616.844,24.220,51436.349,20405.424,6295.150,27845.379,22276.304,8186.202,97.613,1470.024,0.000338,0.047530,7145,0,111,86,197,111,39639,59,82,136.798,0,0,0,0,0,0,0
9781,326.0,5606,54,40,2025,3581,0,0,3690,307.90,1.210,1.179,0.267,0.046,0.340,-0.970,1.943,0.3965,2.6868,0.554,0.000,0.002,0.115,-0.023,46,26,211,1,257,0,197401.09,46383.945,53527.226,159.647,33681.679,25.644,53277.998,21256.563,6455.868,29648.621,23718.897,6977.397,166.197,1479.253,0.000354,0.046567,7555,0,106,105,211,106,40269,81,98,154.907,0,0,0,0,0,0,0
9811,327.0,5647,43,40,2022,3625,0,0,3802,335.75,1.216,1.183,0.267,0.047,0.338,-0.970,1.944,0.4012,2.6930,0.562,0.001,0.003,0.115,-0.023,42,36,211,0,275,0,199425.52,47141.889,53269.301,134.805,33832.726,22.047,54455.656,21673.950,6578.108,27280.292,21824.234,8624.486,109.301,1624.012,0.000273,0.048208,7922,0,127,84,211,127,40198,106,77,129.075,0,0,0,0,0,0,0
9841,328.0,5680,49,40,1969,3711,0,0,3866,335.01,1.233,1.197,0.264,0.047,0.330,-0.970,1.944,0.3984,2.6969,0.576,0.001,0.002,0.115,-0.020,29,34,236,0,260,0,200662.33,47663.980,54128.119,187.878,33834.686,22.005,55210.790,22024.816,6711.448,27948.613,22358.891,9502.310,134.415,1569.674,0.000443,0.052975,7844,0,126,110,236,126,40665,86,105,181.766,0,0,0,0,0,0,0
9871,329.0,5685,36,40,1960,3725,0,0,3853,310.40,1.238,1.199,0.262,0.047,0.329,-0.970,1.944,0.4061,2.6660,0.570,0.001,0.003,0.115,-0.019,48,41,216,2,290,0,201887.05,46807.731,54731.293,136.211,33234.973,23.255,55988.905,22121.207,6749.262,26878.932,21503.146,8387.426,228.230,1599.701,0.000347,0.052964,7797,0,119,97,216,119,40612,91,87,128.685,0,0,0,0,0,0,0
9901,330.0,5747,45,41,1967,3780,0,0,3968,303.43,1.244,1.202,0.262,0.047,0.327,-0.970,1.942,0.4110,2.6527,0.569,0.001,0.003,0.114,-0.018,45,34,176,0,303,0,203048.97,46625.866,54759.956,111.084,34370.255,25.450,56629.292,22563.020,6804.907,27800.804,22240.644,7183.461,109.026,1485.115,0.000289,0.054019,8116,0,93,83,176,93,41280,53,75,105.867,0,0,0,0,0,0,0
9931,331.0,5764,36,41,1954,3809,0,1,4024,310.15,1.250,1.204,0.262,0.048,0.325,-0.970,1.947,0.4077,2.6816,0.562,0.002,0.003,0.113,-0.018,52,27,219,0,322,0,202826.84,46846.209,56767.188,129.664,33034.671,22.151,57370.648,22735.102,6947.550,28563.058,22850.447,9480.319,156.401,1562.560,0.000286,0.055056,8028,0,127,92,219,127,41622,85,90,128.907,0,0,0,0,0,0,0
