tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach
2371,79.0,5204,272,29,1803,3401,0,0,3177,314.68,0.861,1.028,0.549,0.127,0.271,-0.736,1.732,0.4640,2.3519,0.683,0.001,0.006,0.060,-0.074,79,26,179,0,172,0,140913.48,30290.956,43315.755,15.597,15911.880,13.445,31984.550,11431.893,5523.250,21595.489,17276.392,7185.555,297.804,6635.533,0.000235,-0.000759,0,16915,179,0,179,179,66120
2401,80.0,5344,280,29,1766,3578,0,0,3391,317.89,0.870,1.041,0.561,0.128,0.261,-0.741,1.732,0.4644,2.3439,0.700,0.002,0.008,0.060,-0.078,75,22,175,0,203,0,146937.70,30956.732,45339.887,18.027,16023.427,14.647,33322.371,11913.756,5958.420,21585.454,17268.364,7703.884,398.485,6676.421,0.000302,0.002850,0,16938,175,0,174,174,68884
2431,81.0,5493,256,29,1762,3731,0,0,3519,254.28,0.877,1.051,0.570,0.127,0.254,-0.745,1.733,0.4610,2.3541,0.684,0.003,0.007,0.060,-0.082,67,23,202,0,205,0,151772.16,31769.643,46695.319,14.981,16486.731,15.207,34699.240,12560.815,6317.099,23398.979,18719.183,8065.788,399.754,6922.999,0.000336,0.005240,0,17363,202,0,202,202,70893
2461,82.0,5594,254,29,1764,3830,0,0,3653,242.49,0.881,1.056,0.580,0.127,0.251,-0.747,1.735,0.4566,2.3532,0.685,0.003,0.008,0.060,-0.083,73,27,242,0,210,0,156838.48,32076.497,50049.919,17.001,16703.775,13.431,35947.879,13093.416,6592.234,23414.630,18731.705,9291.787,396.830,7072.024,0.000344,0.008638,0,17444,242,0,242,242,73442
2491,83.0,5740,207,29,1764,3976,0,0,3765,266.89,0.891,1.067,0.588,0.128,0.245,-0.749,1.735,0.4578,2.3621,0.663,0.005,0.007,0.060,-0.086,65,17,197,0,243,0,163336.56,32768.560,52183.483,12.401,17175.965,13.604,36994.599,13479.398,6837.881,24309.378,19447.503,8804.559,406.062,7081.992,0.000385,0.013043,0,17757,197,0,197,197,74273
2521,84.0,5910,239,29,1772,4138,0,0,3963,245.54,0.896,1.076,0.601,0.128,0.241,-0.753,1.734,0.4564,2.3534,0.670,0.003,0.009,0.060,-0.088,71,22,194,0,236,0,169146.41,33392.736,53267.919,14.526,17422.235,16.621,38399.333,14050.803,7149.166,25026.171,20020.937,8932.938,325.245,7002.613,0.000351,0.017061,0,18421,194,0,194,194,75456
2551,85.0,5996,225,29,1760,4236,0,0,4097,266.70,0.903,1.084,0.610,0.129,0.236,-0.756,1.734,0.4506,2.3505,0.670,0.010,0.020,0.061,-0.091,56,24,213,0,245,0,176967.03,34129.697,56557.012,13.868,17483.777,12.495,39888.237,14576.883,7466.991,22864.498,18291.598,9012.828,304.023,7058.108,0.000332,0.021134,0,18889,213,0,213,213,76299
2581,86.0,6000,203,29,1768,4232,0,0,4235,244.67,0.907,1.085,0.614,0.129,0.237,-0.756,1.734,0.4512,2.3502,0.662,0.012,0.041,0.061,-0.092,61,10,282,0,257,0,182328.38,34068.723,58442.857,22.036,17719.567,15.389,40387.947,14660.279,7759.187,22348.217,17878.574,12058.387,467.387,7369.444,0.000310,0.026635,0,18501,282,0,281,281,76910
2611,87.0,5996,210,29,1794,4202,0,0,4235,225.54,0.909,1.084,0.618,0.129,0.240,-0.760,1.732,0.4466,2.3498,0.659,0.018,0.056,0.062,-0.093,63,20,275,0,261,0,188286.80,34528.235,58350.498,25.456,17260.750,16.062,40709.455,14657.353,7825.833,22330.173,17864.139,11485.875,665.922,7135.288,0.000323,0.030116,0,17977,275,0,274,274,76065
2641,88.0,6000,182,29,1787,4213,0,0,4259,272.90,0.913,1.089,0.626,0.130,0.239,-0.763,1.727,0.4468,2.3384,0.670,0.022,0.067,0.062,-0.096,70,16,275,0,279,0,194014.08,34931.391,59987.758,21.855,18415.794,15.850,40972.409,14664.508,7801.596,23371.525,18697.221,12916.512,895.417,7288.984,0.000273,0.031842,0,18059,275,0,275,275,74454
2671,89.0,6000,198,29,1830,4170,0,0,4220,235.71,0.912,1.085,0.634,0.130,0.243,-0.767,1.721,0.4415,2.3279,0.635,0.021,0.075,0.063,-0.098,59,25,321,0,284,0,197028.77,35158.847,59966.749,22.402,17991.977,17.448,41233.523,14616.569,7806.550,25269.516,20215.613,14871.849,1173.640,7377.282,0.000335,0.033285,0,17274,321,0,321,321,73713
2701,90.0,6000,209,29,1857,4143,0,0,4208,280.48,0.914,1.084,0.644,0.131,0.246,-0.768,1.719,0.4407,2.3216,0.623,0.027,0.070,0.063,-0.100,57,20,381,0,220,0,196712.70,35098.357,58691.534,28.336,17646.972,17.660,41504.540,14507.069,7738.825,25223.682,20178.946,16658.661,1245.994,7434.455,0.000369,0.035146,0,17361,381,0,380,380,72633
2731,91.0,6000,203,29,1884,4116,0,0,4201,314.87,0.913,1.082,0.651,0.130,0.249,-0.771,1.717,0.4352,2.3206,0.652,0.028,0.079,0.064,-0.101,54,18,356,0,259,0,199416.08,35195.386,60906.824,35.115,17237.638,16.994,41784.228,14536.868,7655.460,25455.213,20364.171,15872.326,1196.015,7298.026,0.000359,0.038056,0,16743,356,0,354,354,71218
2761,92.0,6000,201,29,1921,4079,0,0,4171,307.92,0.913,1.081,0.661,0.130,0.252,-0.773,1.715,0.4310,2.3245,0.637,0.037,0.080,0.064,-0.103,70,20,386,0,246,0,201301.42,36079.663,62334.183,29.594,18018.626,17.409,41918.165,14523.643,7639.947,26589.600,21271.680,17680.401,1715.391,7762.626,0.000408,0.040159,0,16774,386,0,386,386,69470
2791,93.0,6000,184,29,1959,4041,0,0,4232,274.73,0.914,1.080,0.673,0.129,0.256,-0.775,1.708,0.4302,2.3148,0.632,0.034,0.069,0.065,-0.104,73,22,407,0,232,0,201432.27,36166.295,60847.998,32.993,17958.426,16.573,42173.901,14523.878,7648.431,27029.715,21623.773,17744.079,1745.164,7675.046,0.000365,0.039225,0,16271,407,0,407,407,69006
