tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
991,33.0,4547,345,33,342,4202,0,3,1079,229.21,1.192,0.823,0.117,0.061,0.097,-0.828,1.586,0.3847,1.5914,0.716,0.012,0.025,0.134,0.002,82,130,341,0,86,0,176240.47,6817.534,61966.083,105.463,3635.006,13.977,31723.311,14079.212,1520.494,24440.074,19552.059,12224.375,1167.134,1959.019,0.000178,-0.008649,762,0,292,49,341,292,48158,96,49,92.666,0,0,0,0,0,0,0
1021,34.0,4640,322,33,345,4292,0,3,1202,232.30,1.202,0.828,0.120,0.062,0.097,-0.830,1.601,0.3816,1.6001,0.702,0.014,0.022,0.133,0.002,93,89,292,0,104,0,178300.88,6640.051,62281.703,56.191,3540.911,15.231,32240.520,14296.361,1768.629,25660.998,20528.799,10965.728,742.346,1771.750,0.000299,-0.005633,665,0,266,26,292,266,47046,32,26,44.632,0,0,0,0,0,0,0
1051,35.0,4637,327,31,349,4286,0,2,1406,215.93,1.206,0.831,0.122,0.062,0.098,-0.834,1.604,0.3818,1.6061,0.715,0.011,0.021,0.133,0.001,98,127,311,0,117,0,176449.48,6790.754,60120.335,77.648,3922.384,18.072,32949.647,14607.106,2036.670,24441.641,19553.313,11849.432,592.818,1916.136,0.000248,-0.004507,727,0,279,32,311,279,46903,31,32,68.237,0,0,0,0,0,0,0
1081,36.0,4541,314,31,337,4202,0,2,1556,229.80,1.212,0.833,0.124,0.060,0.098,-0.836,1.593,0.3812,1.5976,0.743,0.015,0.021,0.133,0.001,101,109,366,0,125,0,171185.16,6733.712,57713.844,72.961,3922.708,16.270,32830.035,14405.993,2344.102,22703.131,18162.505,13036.995,618.368,2008.726,0.000217,-0.005058,705,0,332,34,366,332,46477,4,34,63.847,0,0,0,0,0,0,0
1111,37.0,4559,281,31,335,4222,0,2,1716,207.55,1.219,0.836,0.128,0.060,0.097,-0.838,1.611,0.3871,1.6012,0.719,0.012,0.021,0.132,-0.000,87,90,295,0,129,0,170006.73,6543.795,59328.800,69.216,3456.401,16.063,32613.180,14044.221,2598.845,23782.008,19025.607,10993.642,469.588,1644.350,0.000256,-0.005783,644,0,263,32,295,263,45300,8,32,60.907,0,0,0,0,0,0,0
1141,38.0,4413,344,31,320,4092,0,1,1839,249.04,1.224,0.837,0.129,0.061,0.097,-0.841,1.631,0.3675,1.6005,0.724,0.022,0.022,0.132,0.001,77,118,328,0,168,0,164359.02,6327.688,55282.538,80.276,3138.328,16.220,32418.535,13920.457,2859.440,21004.872,16803.898,11942.852,378.682,1617.287,0.000186,-0.004767,573,0,288,40,328,288,43882,10,40,70.791,0,0,0,0,0,0,0
1171,39.0,4336,320,31,327,4008,0,1,1934,237.98,1.224,0.839,0.130,0.061,0.099,-0.845,1.652,0.3802,1.5988,0.744,0.006,0.020,0.133,-0.000,83,78,255,0,217,0,160420.83,6234.902,54399.537,50.754,3881.854,15.737,31785.522,13527.525,3040.460,21072.342,16857.874,9805.400,736.997,1512.996,0.000426,-0.006597,654,0,230,25,255,230,41498,3,25,43.036,0,0,0,0,0,0,0
1201,40.0,4177,313,26,331,3845,0,1,1955,270.80,1.227,0.838,0.129,0.060,0.102,-0.847,1.642,0.3906,1.6037,0.724,0.003,0.021,0.133,-0.000,84,93,284,0,210,0,155465.64,6339.531,52124.935,38.458,3607.207,14.133,31039.433,13104.891,3185.556,19303.089,15442.471,9966.942,754.801,1545.868,0.000199,-0.007540,644,0,270,14,284,270,39173,2,14,28.451,0,0,0,0,0,0,0
1231,41.0,4072,257,26,333,3738,0,1,1923,253.29,1.227,0.838,0.133,0.060,0.104,-0.850,1.657,0.3839,1.6015,0.712,0.009,0.022,0.133,0.001,70,101,264,0,208,0,151766.62,6205.866,51962.623,59.119,3247.630,15.019,30181.605,12687.457,3147.741,20911.828,16729.463,9589.122,664.743,1473.594,0.000269,-0.006755,627,0,241,23,264,241,37446,42,23,50.163,0,0,0,0,0,0,0
1261,42.0,3967,326,26,339,3627,0,1,1868,263.18,1.226,0.840,0.136,0.059,0.107,-0.851,1.667,0.3920,1.6053,0.707,0.012,0.020,0.133,0.001,58,86,224,0,195,0,147111.88,6176.573,48091.965,45.696,3084.966,11.580,29358.210,12275.820,3101.506,17946.019,14356.816,8852.492,459.623,1332.129,0.000241,-0.006795,581,0,201,23,224,201,35521,28,23,38.433,0,0,0,0,0,0,0
