tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
10231,341.0,5997,73,29,1562,4435,0,0,4386,860.89,1.149,1.078,0.121,0.052,0.267,-0.957,1.899,0.5449,2.3930,0.690,0.040,0.501,0.155,-0.148,35,6,16,6,116,0,380517.78,37850.799,61126.724,15.048,28061.793,8.874,52632.184,21247.738,6902.486,6834.982,5467.986,5037.887,20960.441,1294.410,0.000409,-0.080116,6229,0,7,9,16,7,12200,7,9,15.005,0,0,0,0,0,0,0
10261,342.0,6000,64,29,1534,4466,0,0,4394,860.80,1.154,1.081,0.121,0.052,0.263,-0.957,1.901,0.5408,2.3684,0.698,0.022,0.467,0.155,-0.148,30,14,14,5,135,0,368778.47,36026.993,60669.033,10.381,27628.097,9.340,53064.850,21307.392,6884.437,8212.746,6570.197,5204.185,19042.774,1299.531,0.000414,-0.077514,6191,0,6,8,14,6,12205,2,8,10.356,0,0,0,0,0,0,0
10291,343.0,5999,51,29,1503,4496,0,0,4334,904.15,1.160,1.085,0.120,0.052,0.259,-0.957,1.900,0.5502,2.3716,0.690,0.023,0.424,0.155,-0.148,44,13,9,5,154,0,354968.34,34027.147,57054.933,4.217,25739.283,9.217,53487.272,21400.511,6854.544,8660.053,6928.043,4445.739,15821.271,1155.069,0.000300,-0.076561,6195,0,3,6,9,3,11916,6,6,4.208,0,0,0,0,0,0,0
10321,344.0,6000,64,29,1473,4527,0,0,4268,845.64,1.165,1.088,0.120,0.051,0.255,-0.957,1.901,0.5430,2.3865,0.703,0.017,0.370,0.155,-0.148,33,22,15,7,158,0,337467.94,32208.035,51760.844,11.024,24232.610,9.059,53936.486,21656.954,6743.499,9755.108,7804.086,4575.456,11484.452,1132.435,0.000454,-0.075621,6303,0,4,11,15,4,11894,2,11,11.005,0,0,0,0,0,0,0
10351,345.0,6000,53,30,1457,4543,0,0,4300,736.88,1.169,1.090,0.120,0.051,0.253,-0.957,1.902,0.5413,2.3617,0.704,0.014,0.320,0.155,-0.149,30,20,11,1,154,0,318944.03,30886.491,49724.018,11.620,22276.388,9.232,54266.283,21774.447,6675.817,8957.654,7166.123,3595.135,10003.378,1039.470,0.000469,-0.074315,6107,0,6,5,11,6,11644,3,5,11.564,0,0,0,0,0,0,0
10381,346.0,6000,48,30,1423,4577,0,0,4295,973.85,1.174,1.093,0.120,0.051,0.248,-0.958,1.901,0.5399,2.3572,0.713,0.008,0.249,0.154,-0.149,43,21,16,11,230,0,295198.06,29059.138,45749.226,5.145,20611.569,9.949,54587.503,21794.583,6748.579,13360.038,10688.031,4700.324,7050.353,1006.121,0.000491,-0.077442,6124,0,11,5,16,11,11533,7,5,5.115,0,0,0,0,0,0,0
10411,347.0,5999,40,30,1401,4598,0,0,4235,826.28,1.178,1.095,0.119,0.052,0.245,-0.958,1.900,0.5408,2.3559,0.707,0.006,0.181,0.154,-0.149,30,44,21,6,250,0,269032.25,27291.891,42599.474,9.521,19708.180,9.115,54728.468,21985.407,6708.700,15368.330,12294.664,4054.986,4547.877,967.586,0.000277,-0.077502,6075,0,13,8,21,13,11477,10,8,9.498,0,0,0,0,0,0,0
10441,348.0,6000,40,30,1384,4616,0,0,4077,805.26,1.181,1.097,0.119,0.052,0.243,-0.958,1.899,0.5476,2.3432,0.698,0.001,0.106,0.154,-0.150,28,48,14,8,283,0,240915.92,25659.560,38920.343,3.365,18010.065,7.554,54785.819,21862.470,6542.516,17004.281,13603.425,2578.267,2659.164,870.514,0.000321,-0.078485,6100,0,12,2,14,12,11216,2,2,3.347,0,0,0,0,0,0,0
10471,349.0,5997,31,30,1350,4647,0,0,3999,790.29,1.187,1.102,0.118,0.051,0.239,-0.958,1.900,0.5448,2.3517,0.708,0.001,0.041,0.154,-0.149,36,55,9,15,341,0,209882.84,24079.819,36604.009,4.145,16040.355,7.225,54717.218,22005.720,6376.260,20116.626,16093.301,2777.958,1062.790,757.768,0.000218,-0.076883,5754,0,3,6,9,3,11178,7,6,4.137,0,0,0,0,0,0,0
10501,350.0,5861,39,30,1333,4528,0,0,3877,763.13,1.184,1.100,0.118,0.050,0.241,-0.958,1.902,0.5451,2.3326,0.694,0.001,0.000,0.154,-0.149,43,92,11,11,398,0,175884.33,22429.830,32105.535,2.500,14931.282,6.671,54327.584,21951.885,6252.739,17942.299,14353.840,1586.166,145.281,684.274,0.000248,-0.075583,5827,0,6,5,11,6,11224,3,5,2.494,0,0,0,0,0,0,0
