tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
1591,53.0,884,830,13,80,682,102,20,3,170.79,1.269,1.099,1.276,0.152,0.160,-0.609,2.289,0.5113,1.5040,0.639,0.050,0.014,0.124,0.017,76,86,133,0,0,0,33906.30,1139.461,13763.265,2965.725,169.136,12.211,10353.837,3248.144,6.131,7212.522,5770.017,3130.033,129.416,2098.495,0.000084,0.019698,24,0,123,10,10,7,12067,0,10,8.766,3394,465,460,116,0,340,4
1621,54.0,866,858,13,83,675,91,17,3,168.82,1.259,1.099,1.269,0.142,0.166,-0.631,2.285,0.4881,1.4993,0.661,0.048,0.015,0.125,0.014,70,61,94,0,2,0,32516.85,1257.072,13616.158,1693.588,176.661,10.673,9870.339,3170.453,3.362,6037.950,4830.360,2099.248,216.103,1389.170,0.000111,0.019310,26,0,81,13,13,7,11431,0,13,14.560,2886,453,446,74,0,372,0
1651,55.0,871,854,21,101,692,66,12,5,180.85,1.227,1.100,1.247,0.125,0.182,-0.684,2.293,0.5343,1.5429,0.634,0.040,0.012,0.129,0.007,66,81,76,0,0,0,32273.49,1315.915,14018.369,1304.700,240.152,10.670,9607.586,3007.279,3.833,6863.204,5490.563,1549.781,244.640,1096.581,0.000155,0.018464,42,0,67,9,7,7,11049,0,9,1.384,2276,279,270,60,0,210,0
1681,56.0,891,799,21,115,704,61,11,5,175.43,1.208,1.094,1.229,0.117,0.194,-0.699,2.300,0.5376,1.5179,0.636,0.035,0.009,0.130,0.004,69,66,65,0,0,0,32477.29,1472.550,13944.220,1033.444,149.243,10.469,9644.849,2935.307,6.421,6481.391,5185.113,1181.317,174.241,1007.996,0.000132,0.018403,24,0,58,7,12,9,11171,0,7,9.218,1919,208,204,49,0,155,0
1711,57.0,894,832,21,133,704,51,6,7,192.21,1.179,1.090,1.196,0.107,0.210,-0.725,2.291,0.5233,1.5585,0.648,0.030,0.013,0.132,-0.001,75,80,59,0,0,0,31619.25,1712.525,12132.519,1020.024,152.509,9.636,9504.877,2840.453,7.239,5992.754,4794.203,1231.036,90.577,850.376,0.000081,0.018722,26,0,50,9,9,7,10768,0,9,8.098,1672,197,190,43,0,147,0
1741,58.0,883,780,21,145,690,44,4,8,177.96,1.162,1.090,1.172,0.103,0.220,-0.738,2.274,0.5503,1.5353,0.650,0.041,0.016,0.136,-0.000,67,97,65,0,0,0,31323.90,1855.170,12935.468,1052.986,239.226,8.924,9171.067,2717.461,10.231,6360.214,5088.171,1601.812,555.157,811.205,0.000105,0.018209,31,0,46,19,9,4,10265,0,19,20.019,1397,240,230,42,0,188,0
1771,59.0,880,736,21,166,677,34,3,9,162.15,1.130,1.082,1.122,0.094,0.237,-0.757,2.262,0.5730,1.5473,0.651,0.042,0.018,0.141,-0.001,78,83,61,0,2,0,31288.00,2089.424,12047.612,984.698,221.753,8.274,8962.074,2746.709,10.770,5850.329,4680.264,1391.736,212.794,663.483,0.000079,0.017750,28,0,46,15,6,1,9752,0,15,13.293,1164,243,235,45,0,190,0
1801,60.0,874,682,21,183,662,27,2,7,157.66,1.108,1.076,1.087,0.089,0.252,-0.772,2.272,0.5674,1.5796,0.618,0.033,0.020,0.143,-0.005,68,79,75,0,0,0,32291.60,2259.522,13143.394,1105.780,215.545,9.075,8601.190,2596.939,12.689,6161.493,4929.194,1654.940,284.198,1122.843,0.000117,0.017026,28,0,54,21,13,9,9159,0,21,10.014,883,135,122,45,0,77,0
1831,61.0,893,722,21,208,658,25,2,6,175.83,1.088,1.070,1.050,0.091,0.268,-0.777,2.274,0.5758,1.5631,0.634,0.034,0.013,0.145,-0.006,48,75,44,0,1,0,31954.13,2456.821,10531.414,788.321,271.954,8.731,8598.199,2512.540,9.614,5662.008,4529.607,1170.671,182.992,507.603,0.000106,0.018055,45,0,28,16,13,0,8819,0,16,29.042,750,150,147,28,0,119,0
1861,62.0,932,767,21,249,653,27,3,5,185.79,1.057,1.054,0.999,0.090,0.291,-0.774,2.251,0.5550,1.5856,0.651,0.036,0.010,0.145,-0.009,58,67,46,0,2,0,32409.49,2901.621,11024.902,845.191,273.742,9.112,8524.466,2436.032,8.297,6107.904,4886.324,1218.637,125.114,782.230,0.000080,0.017952,44,0,35,11,11,4,8991,0,11,26.359,813,122,118,31,0,87,0
1891,63.0,972,746,21,279,669,22,2,4,181.54,1.033,1.048,0.973,0.086,0.304,-0.786,2.255,0.5638,1.6530,0.636,0.043,0.016,0.144,-0.015,65,71,60,0,1,0,35222.96,3319.377,13486.258,697.249,244.956,8.522,8558.391,2643.498,7.381,6783.378,5426.703,1409.223,166.810,547.435,0.000146,0.018238,37,0,33,27,10,3,8863,0,27,17.981,732,198,179,30,0,148,0
