tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
11341,378.0,2000,2258,24,1913,2,85,490,2192.06,0.609,0.404,0.132,0.067,0.627,0.145,0.050,177,1,17,2,6,0
11371,379.0,2000,2417,24,1913,2,85,478,2164.80,0.609,0.404,0.132,0.067,0.628,0.145,0.050,184,0,8,2,6,0
11401,380.0,2000,2575,24,1913,2,85,445,2221.81,0.609,0.404,0.132,0.067,0.628,0.146,0.049,173,0,11,3,3,0
11431,381.0,2000,2652,24,1913,2,85,441,2188.34,0.609,0.403,0.133,0.067,0.628,0.146,0.049,174,0,14,5,4,0
11461,382.0,2000,2897,24,1913,2,85,429,2206.04,0.609,0.403,0.133,0.067,0.628,0.146,0.049,196,0,6,2,5,0
11491,383.0,2000,3019,24,1914,2,84,418,2135.26,0.609,0.402,0.134,0.066,0.628,0.146,0.049,178,0,7,1,6,0
11521,384.0,2000,3126,24,1914,2,84,414,2188.33,0.609,0.403,0.134,0.066,0.628,0.146,0.049,168,0,7,4,3,0
11551,385.0,2000,3310,24,1914,2,84,427,2192.71,0.609,0.403,0.134,0.066,0.628,0.146,0.049,160,0,6,0,2,0
11581,386.0,2000,3228,24,1914,2,84,428,2283.53,0.610,0.403,0.132,0.066,0.628,0.146,0.048,166,0,15,4,6,0
11611,387.0,2000,3334,24,1915,2,83,433,2406.48,0.609,0.403,0.133,0.065,0.628,0.146,0.048,163,0,13,4,3,0
11641,388.0,2000,3414,24,1916,2,82,430,2532.26,0.609,0.401,0.132,0.065,0.628,0.146,0.048,167,0,18,9,5,0
11671,389.0,2000,3417,24,1918,2,80,449,2536.45,0.609,0.400,0.132,0.065,0.629,0.147,0.047,185,0,12,4,4,0
11701,390.0,2000,3468,24,1919,2,79,465,2512.79,0.608,0.400,0.131,0.065,0.629,0.147,0.047,182,0,15,3,7,0
11731,391.0,2000,3571,24,1919,2,79,483,2420.11,0.608,0.400,0.131,0.065,0.630,0.147,0.047,195,0,8,4,5,0
11761,392.0,2000,3545,24,1920,2,78,490,2527.84,0.608,0.401,0.131,0.063,0.630,0.147,0.047,157,0,11,3,8,0
11791,393.0,2000,3522,24,1922,2,76,490,2451.59,0.608,0.400,0.131,0.063,0.631,0.147,0.047,162,0,11,2,7,0
11821,394.0,2000,3610,24,1922,2,76,504,2393.86,0.608,0.401,0.131,0.063,0.631,0.147,0.047,166,0,16,1,6,0
11851,395.0,2000,3593,24,1923,2,75,495,2317.47,0.609,0.401,0.130,0.062,0.631,0.147,0.047,181,0,17,3,6,0
11881,396.0,2000,3512,24,1923,2,75,532,2218.19,0.608,0.401,0.130,0.062,0.631,0.147,0.046,179,0,13,4,3,0
11911,397.0,2000,3558,24,1923,2,75,514,2184.35,0.609,0.401,0.129,0.062,0.631,0.147,0.046,166,0,16,3,6,0
11941,398.0,2000,3437,24,1924,2,74,521,2138.35,0.610,0.401,0.128,0.062,0.631,0.147,0.046,171,0,12,5,5,0
11971,399.0,2000,3363,24,1928,2,70,531,2253.14,0.609,0.399,0.128,0.061,0.632,0.147,0.046,173,0,16,6,4,0
12001,400.0,2000,3361,24,1930,2,68,551,2241.21,0.610,0.398,0.129,0.061,0.633,0.147,0.045,169,0,5,5,9,0
