tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
3391,113.0,2000,575,46,885,1094,21,321,785.15,0.810,0.804,0.418,0.066,0.334,0.125,0.018,53,7,55,1,7,0
3421,114.0,2000,541,46,909,1070,21,315,806.56,0.802,0.794,0.421,0.065,0.342,0.127,0.018,57,12,49,1,9,0
3451,115.0,2000,527,42,924,1056,20,321,891.23,0.795,0.787,0.429,0.064,0.347,0.129,0.018,55,7,41,1,11,0
3481,116.0,2000,475,42,935,1045,20,315,874.91,0.791,0.782,0.432,0.064,0.351,0.129,0.018,55,10,27,1,8,0
3511,117.0,2000,427,42,945,1035,20,328,872.35,0.786,0.777,0.435,0.063,0.354,0.131,0.018,59,7,40,1,9,0
3541,118.0,2000,414,42,955,1027,18,341,921.54,0.782,0.772,0.438,0.061,0.358,0.132,0.018,63,15,49,1,6,0
3571,119.0,2000,397,42,969,1014,17,346,884.16,0.775,0.766,0.440,0.062,0.363,0.133,0.018,57,18,31,2,5,0
3601,120.0,2000,400,38,990,994,16,352,912.24,0.766,0.758,0.438,0.060,0.370,0.133,0.019,59,18,28,0,18,0
3631,121.0,2000,377,38,1004,980,16,359,882.95,0.761,0.752,0.440,0.059,0.374,0.134,0.018,44,18,21,0,6,0
3661,122.0,2000,451,38,1024,962,14,349,864.82,0.755,0.745,0.442,0.058,0.381,0.135,0.018,55,15,36,1,13,0
3691,123.0,2000,470,38,1052,933,15,357,824.96,0.744,0.735,0.448,0.058,0.390,0.137,0.019,69,20,43,1,16,0
3721,124.0,2000,526,38,1075,910,15,342,831.60,0.736,0.727,0.450,0.057,0.398,0.138,0.020,80,20,39,1,14,0
3751,125.0,2000,529,36,1103,883,14,335,778.52,0.728,0.716,0.455,0.056,0.406,0.138,0.020,67,14,53,0,13,0
3781,126.0,2000,556,36,1122,865,13,341,754.24,0.722,0.712,0.453,0.056,0.412,0.139,0.020,57,26,29,2,6,0
3811,127.0,2000,599,36,1144,843,13,350,856.72,0.715,0.704,0.455,0.055,0.418,0.140,0.020,65,15,42,1,9,0
3841,128.0,2000,698,36,1161,825,14,356,890.97,0.709,0.698,0.458,0.056,0.424,0.141,0.020,77,13,35,1,8,0
3871,129.0,2000,812,36,1165,822,13,368,954.28,0.709,0.697,0.458,0.056,0.425,0.140,0.021,77,7,55,0,8,0
3901,130.0,2000,864,33,1175,812,13,379,855.58,0.705,0.694,0.461,0.056,0.428,0.141,0.021,81,12,47,0,7,0
3931,131.0,2000,941,33,1172,815,13,390,845.50,0.707,0.697,0.461,0.056,0.428,0.141,0.022,84,9,27,0,11,0
3961,132.0,2000,1022,33,1170,817,13,372,851.62,0.707,0.698,0.464,0.057,0.427,0.141,0.022,76,4,28,0,8,0
3991,133.0,2000,1123,33,1179,808,13,369,835.54,0.704,0.694,0.466,0.056,0.430,0.142,0.021,72,5,39,0,11,0
4021,134.0,2000,1228,33,1185,803,12,364,806.76,0.702,0.691,0.466,0.056,0.432,0.142,0.022,76,5,37,0,5,0
4051,135.0,2000,1346,33,1198,790,12,368,823.05,0.698,0.687,0.465,0.055,0.436,0.143,0.022,71,8,48,1,7,0
4081,136.0,2000,1445,33,1199,790,11,366,889.54,0.698,0.687,0.467,0.055,0.436,0.143,0.021,78,4,48,1,5,0
4111,137.0,2000,1543,33,1190,799,11,342,858.78,0.702,0.690,0.469,0.056,0.432,0.142,0.021,56,0,47,0,4,0
4141,138.0,2000,1593,33,1195,795,10,325,844.07,0.700,0.688,0.472,0.056,0.434,0.143,0.020,62,2,44,0,5,0
4171,139.0,2000,1681,33,1191,799,10,315,808.42,0.701,0.690,0.477,0.056,0.433,0.143,0.020,58,1,40,0,8,0
4201,140.0,2000,1664,31,1185,805,10,304,731.46,0.702,0.692,0.480,0.056,0.431,0.143,0.020,76,1,40,0,4,0
4231,141.0,2000,1820,31,1189,802,9,305,794.61,0.701,0.692,0.482,0.058,0.433,0.144,0.020,65,1,44,0,7,0
4261,142.0,2000,1792,31,1193,798,9,304,845.95,0.700,0.691,0.483,0.057,0.434,0.144,0.021,65,3,37,1,1,0
4291,143.0,2000,1972,31,1186,806,8,288,830.09,0.702,0.694,0.485,0.057,0.432,0.144,0.019,57,1,46,0,5,0
4321,144.0,2000,2030,31,1185,806,9,294,840.49,0.702,0.693,0.485,0.057,0.431,0.145,0.019,64,1,33,0,7,0
4351,145.0,2000,2012,31,1183,808,9,299,866.24,0.703,0.693,0.485,0.057,0.431,0.145,0.019,59,1,32,1,3,0
4381,146.0,2000,2100,31,1174,817,9,294,892.46,0.706,0.695,0.490,0.057,0.429,0.146,0.019,62,0,35,0,6,0
4411,147.0,2000,2164,31,1173,818,9,303,929.72,0.706,0.696,0.491,0.057,0.428,0.146,0.019,69,0,39,0,4,0
4441,148.0,2000,2144,31,1172,819,9,310,969.41,0.707,0.696,0.491,0.057,0.427,0.146,0.018,66,0,33,0,4,0
4471,149.0,2000,2144,31,1177,816,7,329,1024.62,0.706,0.694,0.492,0.057,0.429,0.146,0.017,67,0,22,0,8,0
4501,150.0,2000,2184,31,1176,817,7,337,1015.59,0.706,0.693,0.494,0.058,0.428,0.146,0.017,68,0,26,0,4,0
4531,151.0,2000,2295,31,1174,819,7,341,1005.18,0.707,0.694,0.499,0.058,0.427,0.146,0.017,76,0,25,0,5,0
4561,152.0,2000,2344,31,1172,821,7,349,983.67,0.707,0.695,0.498,0.057,0.427,0.146,0.017,63,1,34,0,5,0
4591,153.0,2000,2317,31,1169,823,8,365,989.77,0.707,0.695,0.501,0.058,0.426,0.146,0.017,63,2,28,1,6,0
4621,154.0,2000,2316,31,1160,831,9,383,1025.98,0.709,0.698,0.500,0.058,0.423,0.146,0.017,51,0,31,0,2,0
4651,155.0,2000,2170,31,1163,828,9,389,955.22,0.708,0.696,0.506,0.059,0.425,0.146,0.017,67,3,16,0,6,0
4681,156.0,2000,2072,31,1159,832,9,394,997.38,0.710,0.698,0.508,0.060,0.423,0.146,0.017,68,0,23,0,5,0
4711,157.0,2000,1989,31,1153,835,12,409,998.64,0.711,0.700,0.509,0.060,0.421,0.146,0.016,56,2,18,1,11,0
4741,158.0,2000,1987,31,1148,840,12,422,1041.19,0.713,0.701,0.511,0.061,0.419,0.146,0.015,48,0,26,0,8,0
4771,159.0,2000,1884,31,1147,842,11,429,1126.10,0.713,0.701,0.514,0.060,0.419,0.146,0.015,69,1,36,1,9,0
4801,160.0,2000,1863,30,1150,839,11,433,1185.74,0.712,0.700,0.514,0.060,0.420,0.146,0.015,67,0,37,1,7,0
4831,161.0,2000,1904,30,1156,833,11,428,1138.45,0.710,0.698,0.517,0.059,0.422,0.147,0.016,63,1,39,0,6,0
4861,162.0,2000,1858,30,1153,837,10,426,1090.92,0.711,0.699,0.517,0.059,0.422,0.147,0.016,58,3,41,0,8,0
4891,163.0,2000,1736,30,1165,826,9,431,1040.35,0.708,0.693,0.518,0.058,0.426,0.149,0.016,58,3,39,0,13,0
4921,164.0,2000,1620,30,1168,824,8,404,1078.00,0.707,0.692,0.519,0.057,0.427,0.149,0.017,58,1,26,1,13,0
4951,165.0,2000,1505,30,1165,827,8,407,1098.29,0.708,0.695,0.520,0.057,0.427,0.150,0.018,68,0,33,0,8,0
4981,166.0,2000,1353,30,1167,825,8,422,1179.06,0.708,0.694,0.521,0.057,0.428,0.150,0.018,61,1,21,0,8,0
5011,167.0,2000,1197,30,1167,825,8,419,1221.20,0.708,0.695,0.521,0.057,0.428,0.150,0.018,73,2,22,1,5,0
5041,168.0,2000,1197,30,1172,820,8,422,1202.18,0.706,0.693,0.522,0.056,0.430,0.151,0.019,68,2,22,0,4,0
5071,169.0,2000,1132,30,1165,827,8,447,1207.47,0.708,0.695,0.522,0.056,0.428,0.151,0.017,65,0,25,0,5,0
5101,170.0,2000,1045,29,1166,825,9,431,1258.57,0.708,0.695,0.525,0.056,0.428,0.151,0.017,59,3,23,0,8,0
5131,171.0,2000,966,29,1178,813,9,433,1244.78,0.704,0.691,0.527,0.057,0.432,0.152,0.018,57,3,26,0,10,0
5161,172.0,2000,871,29,1184,808,8,436,1204.16,0.702,0.688,0.532,0.056,0.434,0.152,0.018,58,3,34,0,2,0
